Model,Features,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
NaiveBayes,BoW,1.0,1.0,1.0,1.0,0.9733333333333334,0.05333333333333332
SVM,TF-IDF,1.0,1.0,1.0,1.0,0.9866666666666667,0.02666666666666666
LogisticRegression,TF-IDF,1.0,1.0,1.0,1.0,0.9866666666666667,0.02666666666666666
NaiveBayes,TF-IDF,1.0,1.0,1.0,1.0,1.0,0.0
SVM,Bigram,1.0,1.0,1.0,1.0,0.9733333333333334,0.03265986323710903
LogisticRegression,Bigram,1.0,1.0,1.0,1.0,0.9866666666666667,0.02666666666666666
NaiveBayes,Bigram,1.0,1.0,1.0,1.0,1.0,0.0
LogisticRegression,BoW,0.95,0.9545454545454545,0.95,0.949874686716792,0.9733333333333334,0.03265986323710903
SVM,BoW,0.95,0.9545454545454545,0.95,0.949874686716792,0.9733333333333334,0.03265986323710903
RandomForest,BoW,0.9,0.9166666666666667,0.9,0.898989898989899,0.9733333333333334,0.03265986323710903
RandomForest,Bigram,0.9,0.9166666666666667,0.9,0.898989898989899,0.9341666666666668,0.04219662967057387
RandomForest,TF-IDF,0.85,0.8846153846153847,0.85,0.846547314578005,0.9341666666666667,0.05965176722724426
